Field,MemoryBased_Accuracy (%),FASSI_Accuracy (%)
QuocTichMe,99.84,99.69
QuocTichCha,99.83,99.67
QuocTich,99.92,99.15
DanTocMe,98.1,98.89
DanToc,98.07,98.76
DanTocCha,97.52,98.43
QuanHeVoiNguoiDuocKhaiSinh,96.12,95.34
GioiTinh,98.05,94.14
nguoiKy,67.16,89.47
HoTenChucVuNguoiKy,29.92,87.21
NgaySinhMe,79.15,78.55
NgaySinhCha,75.32,74.36
QueQuan,26.49,71.22
NoiSinh,19.94,58.89
NoiDangKy,53.15,53.15
GhiChu,40.71,47.49
NoiThuongTruTamTruCha,16.03,14.42
HoTenMe,12.18,10.78
HoTenCha,11.95,10.69
HoTenNguoiDiDangKy,9.59,8.12
NoiThuongTruTamTruMe,8.63,8.04
NgaySinhGhiBangChu,3.71,4.02
HoTen,1.3,1.1
nycSoGiayToTuyThan,0.0,0.0
GiayToNguoiDiDangKy,0.0,0.0
