doctypefieldcode,total_records,correct_ocr,incorrect_ocr,accuracy (%),error_rate (%),tfidf_predicted,TFIDF_Predicted (%),tfidf_predicted_correct,tfidf_predicted_wrong,TFIDF_Predict_Accuracy (%),TFIDF_Predict_Error (%),TFIDF_Overall_Accuracy (%),min_time_ms,max_time_ms,avg_time_ms
DanToc,33,0,33,0.0,100.0,4,12.12,4,0,100.0,0.0,12.12,0.0,1.79,0.79
DanTocCha,32,0,32,0.0,100.0,3,9.38,2,1,66.67,33.33,6.25,0.0,0.91,0.75
DanTocMe,27,0,27,0.0,100.0,1,3.7,1,0,100.0,0.0,3.7,0.0,1.59,0.76
GhiChu,233,0,233,0.0,100.0,123,52.79,48,75,39.02,60.98,20.6,0.0,1.36,0.84
GiayToNguoiDiDangKy,3,0,3,0.0,100.0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.02,0.68
GioiTinh,239,0,239,0.0,100.0,210,87.87,200,10,95.24,4.76,83.68,0.0,1.42,0.76
HoTen,262,0,262,0.0,100.0,2,0.76,1,1,50.0,50.0,0.38,0.0,1.53,0.9
HoTenChucVuNguoiKy,1290,0,1290,0.0,100.0,292,22.64,292,0,100.0,0.0,22.64,0.0,2.75,0.83
HoTenMe,108,0,108,0.0,100.0,3,2.78,3,0,100.0,0.0,2.78,0.0,1.45,0.86
NgaySinhMe,4,0,4,0.0,100.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.79,0.57
NgaySinhCha,5,0,5,0.0,100.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.92,0.66
NoiSinh,1113,0,1113,0.0,100.0,773,69.45,497,276,64.29,35.71,44.65,0.0,1.98,0.95
NoiThuongTruTamTruCha,246,0,246,0.0,100.0,20,8.13,4,16,20.0,80.0,1.63,0.0,1.96,1.2
QuanHeVoiNguoiDuocKhaiSinh,38,0,38,0.0,100.0,20,52.63,5,15,25.0,75.0,13.16,0.0,1.38,0.82
NoiThuongTruTamTruMe,298,0,298,0.0,100.0,31,10.4,3,28,9.68,90.32,1.01,0.0,3.24,1.29
QuocTichCha,4,0,4,0.0,100.0,1,25.0,1,0,100.0,0.0,25.0,0.0,0.78,0.56
QuocTichMe,3,0,3,0.0,100.0,1,33.33,1,0,100.0,0.0,33.33,0.0,0.75,0.25
QueQuan,823,0,823,0.0,100.0,416,50.55,42,374,10.1,89.9,5.1,0.0,2.36,0.88
QuocTich,10,0,10,0.0,100.0,9,90.0,9,0,100.0,0.0,90.0,0.0,0.83,0.7
nguoiKy,1288,0,1288,0.0,100.0,1258,97.67,960,298,76.31,23.69,74.53,0.0,3.29,0.84
nycSoGiayToTuyThan,3,0,3,0.0,100.0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.04,0.67
HoTenNguoiDiDangKy,115,1,114,0.87,99.13,2,1.74,2,0,100.0,0.0,2.61,0.0,1.36,0.84
HoTenCha,94,2,92,2.13,97.87,6,6.38,4,2,66.67,33.33,5.32,0.0,1.4,0.83
